sequence	run_id	stage_id	stage_code	category	manifest_phase	runner_phase	stage_name
439	stage0829_0439_graph-capture-full_stage9303	9303	TRI-L0-QROPE-S03	triton	graph-capture	graph-capture-full	CUDA Context稀有初始化分支
440	stage0829_0440_graph-capture-full_stage9304	9304	TRI-L0-QROPE-S04	triton	graph-capture	graph-capture-full	function/stream/arg-count物化
441	stage0829_0441_graph-capture-full_stage9305	9305	TRI-L0-QROPE-S05	triton	graph-capture	graph-capture-full	Kernel参数存储与void**数组构造
442	stage0829_0442_graph-capture-full_stage9306	9306	TRI-L0-QROPE-S06	triton	graph-capture	graph-capture-full	Block geometry物化
443	stage0829_0443_graph-capture-full_stage9307	9307	TRI-L0-QROPE-S07	triton	graph-capture	graph-capture-full	cuLaunchKernel精确Driver API
444	stage0829_0444_graph-capture-full_stage9308	9308	TRI-L0-QROPE-S08	triton	graph-capture	graph-capture-full	Driver返回状态检查
445	stage0829_0445_graph-capture-full_stage9309	9309	TRI-L0-QROPE-S09	triton	graph-capture	graph-capture-full	Python扩展返回尾部
446	stage0829_0446_graph-capture-full_stage9401	9401	TRI-REP-QK-S01	triton	graph-capture	graph-capture-full	固定参数解析与grid合法性
447	stage0829_0447_graph-capture-full_stage9402	9402	TRI-REP-QK-S02	triton	graph-capture	graph-capture-full	当前CUDA Context查询
448	stage0829_0448_graph-capture-full_stage9403	9403	TRI-REP-QK-S03	triton	graph-capture	graph-capture-full	CUDA Context稀有初始化分支
449	stage0829_0449_graph-capture-full_stage9404	9404	TRI-REP-QK-S04	triton	graph-capture	graph-capture-full	function/stream/arg-count物化
450	stage0829_0450_graph-capture-full_stage9405	9405	TRI-REP-QK-S05	triton	graph-capture	graph-capture-full	Kernel参数存储与void**数组构造
451	stage0829_0451_graph-capture-full_stage9406	9406	TRI-REP-QK-S06	triton	graph-capture	graph-capture-full	Block geometry物化
452	stage0829_0452_graph-capture-full_stage9407	9407	TRI-REP-QK-S07	triton	graph-capture	graph-capture-full	cuLaunchKernel精确Driver API
453	stage0829_0453_graph-capture-full_stage9408	9408	TRI-REP-QK-S08	triton	graph-capture	graph-capture-full	Driver返回状态检查
454	stage0829_0454_graph-capture-full_stage9409	9409	TRI-REP-QK-S09	triton	graph-capture	graph-capture-full	Python扩展返回尾部
455	stage0829_0455_graph-capture-full_stage9501	9501	TRI-REP-KROPE-S01	triton	graph-capture	graph-capture-full	固定参数解析与grid合法性
456	stage0829_0456_graph-capture-full_stage9502	9502	TRI-REP-KROPE-S02	triton	graph-capture	graph-capture-full	当前CUDA Context查询
457	stage0829_0457_graph-capture-full_stage9503	9503	TRI-REP-KROPE-S03	triton	graph-capture	graph-capture-full	CUDA Context稀有初始化分支
458	stage0829_0458_graph-capture-full_stage9504	9504	TRI-REP-KROPE-S04	triton	graph-capture	graph-capture-full	function/stream/arg-count物化
459	stage0829_0459_graph-capture-full_stage9505	9505	TRI-REP-KROPE-S05	triton	graph-capture	graph-capture-full	Kernel参数存储与void**数组构造
460	stage0829_0460_graph-capture-full_stage9506	9506	TRI-REP-KROPE-S06	triton	graph-capture	graph-capture-full	Block geometry物化
461	stage0829_0461_graph-capture-full_stage9507	9507	TRI-REP-KROPE-S07	triton	graph-capture	graph-capture-full	cuLaunchKernel精确Driver API
462	stage0829_0462_graph-capture-full_stage9508	9508	TRI-REP-KROPE-S08	triton	graph-capture	graph-capture-full	Driver返回状态检查
463	stage0829_0463_graph-capture-full_stage9509	9509	TRI-REP-KROPE-S09	triton	graph-capture	graph-capture-full	Python扩展返回尾部
464	stage0829_0464_graph-capture-full_stage9601	9601	TRI-REP-QROPE-S01	triton	graph-capture	graph-capture-full	固定参数解析与grid合法性
465	stage0829_0465_graph-capture-full_stage9602	9602	TRI-REP-QROPE-S02	triton	graph-capture	graph-capture-full	当前CUDA Context查询
466	stage0829_0466_graph-capture-full_stage9603	9603	TRI-REP-QROPE-S03	triton	graph-capture	graph-capture-full	CUDA Context稀有初始化分支
467	stage0829_0467_graph-capture-full_stage9604	9604	TRI-REP-QROPE-S04	triton	graph-capture	graph-capture-full	function/stream/arg-count物化
468	stage0829_0468_graph-capture-full_stage9605	9605	TRI-REP-QROPE-S05	triton	graph-capture	graph-capture-full	Kernel参数存储与void**数组构造
469	stage0829_0469_graph-capture-full_stage9606	9606	TRI-REP-QROPE-S06	triton	graph-capture	graph-capture-full	Block geometry物化
470	stage0829_0470_graph-capture-full_stage9607	9607	TRI-REP-QROPE-S07	triton	graph-capture	graph-capture-full	cuLaunchKernel精确Driver API
471	stage0829_0471_graph-capture-full_stage9608	9608	TRI-REP-QROPE-S08	triton	graph-capture	graph-capture-full	Driver返回状态检查
472	stage0829_0472_graph-capture-full_stage9609	9609	TRI-REP-QROPE-S09	triton	graph-capture	graph-capture-full	Python扩展返回尾部
473	stage0829_0473_graph-capture-full_stage9701	9701	TRI-ATTN-RES-NORM-S01	triton	graph-capture	graph-capture-full	固定参数解析与grid合法性
474	stage0829_0474_graph-capture-full_stage9702	9702	TRI-ATTN-RES-NORM-S02	triton	graph-capture	graph-capture-full	当前CUDA Context查询
475	stage0829_0475_graph-capture-full_stage9703	9703	TRI-ATTN-RES-NORM-S03	triton	graph-capture	graph-capture-full	CUDA Context稀有初始化分支
476	stage0829_0476_graph-capture-full_stage9704	9704	TRI-ATTN-RES-NORM-S04	triton	graph-capture	graph-capture-full	function/stream/arg-count物化
477	stage0829_0477_graph-capture-full_stage9705	9705	TRI-ATTN-RES-NORM-S05	triton	graph-capture	graph-capture-full	Kernel参数存储与void**数组构造
478	stage0829_0478_graph-capture-full_stage9706	9706	TRI-ATTN-RES-NORM-S06	triton	graph-capture	graph-capture-full	Block geometry物化
479	stage0829_0479_graph-capture-full_stage9707	9707	TRI-ATTN-RES-NORM-S07	triton	graph-capture	graph-capture-full	cuLaunchKernel精确Driver API
480	stage0829_0480_graph-capture-full_stage9708	9708	TRI-ATTN-RES-NORM-S08	triton	graph-capture	graph-capture-full	Driver返回状态检查
481	stage0829_0481_graph-capture-full_stage9709	9709	TRI-ATTN-RES-NORM-S09	triton	graph-capture	graph-capture-full	Python扩展返回尾部
482	stage0829_0482_graph-capture-full_stage9801	9801	TRI-SILU-S01	triton	graph-capture	graph-capture-full	固定参数解析与grid合法性
483	stage0829_0483_graph-capture-full_stage9802	9802	TRI-SILU-S02	triton	graph-capture	graph-capture-full	当前CUDA Context查询
484	stage0829_0484_graph-capture-full_stage9803	9803	TRI-SILU-S03	triton	graph-capture	graph-capture-full	CUDA Context稀有初始化分支
485	stage0829_0485_graph-capture-full_stage9804	9804	TRI-SILU-S04	triton	graph-capture	graph-capture-full	function/stream/arg-count物化
486	stage0829_0486_graph-capture-full_stage9805	9805	TRI-SILU-S05	triton	graph-capture	graph-capture-full	Kernel参数存储与void**数组构造
487	stage0829_0487_graph-capture-full_stage9806	9806	TRI-SILU-S06	triton	graph-capture	graph-capture-full	Block geometry物化
488	stage0829_0488_graph-capture-full_stage9807	9807	TRI-SILU-S07	triton	graph-capture	graph-capture-full	cuLaunchKernel精确Driver API
489	stage0829_0489_graph-capture-full_stage9808	9808	TRI-SILU-S08	triton	graph-capture	graph-capture-full	Driver返回状态检查
490	stage0829_0490_graph-capture-full_stage9809	9809	TRI-SILU-S09	triton	graph-capture	graph-capture-full	Python扩展返回尾部
491	stage0829_0491_graph-capture-full_stage9901	9901	TRI-DOWN-RES-NORM-S01	triton	graph-capture	graph-capture-full	固定参数解析与grid合法性
492	stage0829_0492_graph-capture-full_stage9902	9902	TRI-DOWN-RES-NORM-S02	triton	graph-capture	graph-capture-full	当前CUDA Context查询
493	stage0829_0493_graph-capture-full_stage9903	9903	TRI-DOWN-RES-NORM-S03	triton	graph-capture	graph-capture-full	CUDA Context稀有初始化分支
494	stage0829_0494_graph-capture-full_stage9904	9904	TRI-DOWN-RES-NORM-S04	triton	graph-capture	graph-capture-full	function/stream/arg-count物化
495	stage0829_0495_graph-capture-full_stage9905	9905	TRI-DOWN-RES-NORM-S05	triton	graph-capture	graph-capture-full	Kernel参数存储与void**数组构造
496	stage0829_0496_graph-capture-full_stage9906	9906	TRI-DOWN-RES-NORM-S06	triton	graph-capture	graph-capture-full	Block geometry物化
497	stage0829_0497_graph-capture-full_stage9907	9907	TRI-DOWN-RES-NORM-S07	triton	graph-capture	graph-capture-full	cuLaunchKernel精确Driver API
498	stage0829_0498_graph-capture-full_stage9908	9908	TRI-DOWN-RES-NORM-S08	triton	graph-capture	graph-capture-full	Driver返回状态检查
499	stage0829_0499_graph-capture-full_stage9909	9909	TRI-DOWN-RES-NORM-S09	triton	graph-capture	graph-capture-full	Python扩展返回尾部
500	stage0829_0500_graph-capture-full_stage10001	10001	TRI-FINAL-NORM-S01	triton	graph-capture	graph-capture-full	固定参数解析与grid合法性
501	stage0829_0501_graph-capture-full_stage10002	10002	TRI-FINAL-NORM-S02	triton	graph-capture	graph-capture-full	当前CUDA Context查询
502	stage0829_0502_graph-capture-full_stage10003	10003	TRI-FINAL-NORM-S03	triton	graph-capture	graph-capture-full	CUDA Context稀有初始化分支
503	stage0829_0503_graph-capture-full_stage10004	10004	TRI-FINAL-NORM-S04	triton	graph-capture	graph-capture-full	function/stream/arg-count物化
504	stage0829_0504_graph-capture-full_stage10005	10005	TRI-FINAL-NORM-S05	triton	graph-capture	graph-capture-full	Kernel参数存储与void**数组构造
505	stage0829_0505_graph-capture-full_stage10006	10006	TRI-FINAL-NORM-S06	triton	graph-capture	graph-capture-full	Block geometry物化
506	stage0829_0506_graph-capture-full_stage10007	10007	TRI-FINAL-NORM-S07	triton	graph-capture	graph-capture-full	cuLaunchKernel精确Driver API
507	stage0829_0507_graph-capture-full_stage10008	10008	TRI-FINAL-NORM-S08	triton	graph-capture	graph-capture-full	Driver返回状态检查
508	stage0829_0508_graph-capture-full_stage10009	10009	TRI-FINAL-NORM-S09	triton	graph-capture	graph-capture-full	Python扩展返回尾部
